id,name,lang,new stars
65600975,pytorch/pytorch,C++,26
33791743,x64dbg/x64dbg,C++,9
27729880,grpc/grpc,C++,13
126412363,simdjson/simdjson,C++,290
98771110,zhongyang219/TrafficMonitor,C++,24
14981376,dogecoin/dogecoin,C++,5
192025001,Qv2ray/Qv2ray,C++,6
40892817,ethereum/solidity,C++,20
345337,openframeworks/openFrameworks,C++,1
221822577,Tencent/Hippy,C++,6
88327406,xmrig/xmrig,C++,9
64732358,cartographer-project/cartographer,C++,2
156939672,microsoft/onnxruntime,C++,6
7331227,brndnmtthws/conky,C++,6
372536760,oceanbase/oceanbase,C++,35
280608729,UZ-SLAMLab/ORB_SLAM3,C++,4
402945349,StarRocks/starrocks,C++,4
156228018,cyberbotics/webots,C++,2
187393501,sylar-yin/sylar,C++,2
254632357,electech6/ORB_SLAM2_detailed_comments,C++,2
392565553,IntelLabs/control-flag,C++,88
151348135,mlpack/ensmallen,C++,1
417881648,ly4k/CallbackHell,C++,16
410520657,topjohnwu/zygisk-module-sample,C++,12
420125537,klinix5/ProfSvcLPE,C++,6
