name,lang,new stars
moby/moby,Go,22
gin-gonic/gin,Go,89
jinzhu/gorm,Go,25
yudai/gotty,Go,19
golang/dep,Go,11
gorilla/websocket,Go,29
spf13/viper,Go,23
grpc/grpc-go,Go,11
stretchr/testify,Go,17
go-redis/redis,Go,49
go-chi/chi,Go,10
hoanhan101/ultimate-go,Go,39
golang/protobuf,Go,47
aws/aws-sdk-go,Go,5
go-swagger/go-swagger,Go,11
go-playground/validator,Go,13
lucas-clemente/quic-go,Go,13
go-pg/pg,Go,7
golang-migrate/migrate,Go,9
go-gorp/gorp,Go,0
open-policy-agent/opa,Go,4
mailru/easyjson,Go,5
gardener/gardener,Go,5
GoogleCloudPlatform/spark-on-k8s-operator,Go,1
prometheus/statsd_exporter,Go,0
