name,lang,new stars
fzaninotto/Faker,PHP,13
Seldaek/monolog,PHP,13
sebastianbergmann/phpunit,PHP,12
vlucas/phpdotenv,PHP,6
phpstan/phpstan,PHP,5
phpspec/prophecy,PHP,6
squizlabs/PHP_CodeSniffer,PHP,7
symfony/http-foundation,PHP,9
dompdf/dompdf,PHP,1
nrk/predis,PHP,7
laravel/tinker,PHP,3
yiisoft/yii,PHP,3
barryvdh/laravel-dompdf,PHP,6
KnpLabs/snappy,PHP,4
Atlantic18/DoctrineExtensions,PHP,6
CMB2/CMB2,PHP,0
tecnickcom/TCPDF,PHP,4
symfony/framework-bundle,PHP,8
symfony/maker-bundle,PHP,8
nelmio/alice,PHP,3
sonata-project/SonataAdminBundle,PHP,3
lexik/LexikJWTAuthenticationBundle,PHP,3
sendgrid/sendgrid-php,PHP,3
KnpLabs/KnpSnappyBundle,PHP,4
simplesamlphp/simplesamlphp,PHP,1
