name,lang,new stars
aspnet/AspNetCore,C#,25
GoogleCloudPlatform/microservices-demo,C#,13
JeffreySu/WeiXinMPSDK,C#,7
IdentityServer/IdentityServer4,C#,11
dotnet/csharplang,C#,11
NLog/NLog,C#,4
xamarin/xamarin-forms-samples,C#,3
domaindrivendev/Swashbuckle,C#,3
domaindrivendev/Swashbuckle.AspNetCore,C#,11
dotnet/wcf,C#,0
confluentinc/confluent-kafka-dotnet,C#,2
dotnet/infer,C#,2
rabbitmq/rabbitmq-dotnet-client,C#,2
microsoft/azure-pipelines-agent,C#,1
Elyx0/react-native-document-picker,C#,4
dotnet/runtime,C#,73
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,C#,1
MicrosoftLearning/AZ-203-DevelopingSolutionsforMicrosoftAzure,C#,2
Azure/azure-api-management-devops-resource-kit,C#,1
anoyetta/ACT.Hojoring,C#,1
clvrai/furniture,C#,7
Pathoschild/StardewMods,C#,0
davidfowl/FeatherHttp,C#,9
verdie-g/tinder-auto-matcher,C#,2
prefeiturasp/SME-SGP,C#,0
