name,lang,new stars
twbs/bootstrap,JavaScript,59
facebook/react-native,JavaScript,28
puppeteer/puppeteer,JavaScript,44
atom/atom,JavaScript,20
gatsbyjs/gatsby,JavaScript,34
jaywcjlove/awesome-mac,JavaScript,49
vuejs/vue-cli,JavaScript,27
nosir/cleave.js,JavaScript,10
poteto/hiring-without-whiteboards,JavaScript,23
YMFE/yapi,JavaScript,23
jumpserver/jumpserver,JavaScript,35
infinitered/reactotron,JavaScript,10
bootstrap-vue/bootstrap-vue,JavaScript,7
OpenZeppelin/openzeppelin-contracts,JavaScript,3
uber/deck.gl,JavaScript,4
mapbox/mapbox-gl-js,JavaScript,8
i18next/react-i18next,JavaScript,4
jwilber/roughViz,JavaScript,1480
wesbos/Advanced-React,JavaScript,10
jsonform/jsonform,JavaScript,3
blocks/blocks,JavaScript,256
fchollet/ARC,JavaScript,30
godaddy/kubernetes-external-secrets,JavaScript,4
trailheadapps/lwc-recipes,JavaScript,5
andreafioraldi/frida-qbdi-fuzzer,JavaScript,25
