name,lang,new stars
ripienaar/free-for-dev,HTML,71
google/styleguide,HTML,7
facebookresearch/fastText,HTML,9
swagger-api/swagger-codegen,HTML,5
flutterchina/flutter-in-action,HTML,7
seyhunak/twitter-bootstrap-rails,HTML,1
phil-opp/blog_os,HTML,12
froala/wysiwyg-editor,HTML,5
kangax/compat-table,HTML,4
grails/grails-core,HTML,1
go101/go101,HTML,3
2factorauth/twofactorauth,HTML,2
ganlanyuan/tiny-slider,HTML,6
chiphuyen/machine-learning-systems-design,HTML,366
symfony/web-profiler-bundle,HTML,5
doocs/technical-books,HTML,13
caffeine-overload/bandinchina,HTML,2
nax3t/webdevbootcamp,HTML,1
biaochenxuying/blog,HTML,19
serenity-bdd/serenity-core,HTML,0
openshift/openshift-docs,HTML,0
Xilinx/embeddedsw,HTML,0
keycloak/keycloak-documentation,HTML,1
cloudfoundry-incubator/haproxy-boshrelease,HTML,0
LoukaMB/SynapseX,HTML,0
