name,lang,new stars
spring-projects/spring-boot,Java,34
Blankj/AndroidUtilCode,Java,131
eugenp/tutorials,Java,44
Tencent/tinker,Java,9
wix/react-native-navigation,Java,10
alibaba/spring-cloud-alibaba,Java,60
alibaba/Sentinel,Java,46
mockito/mockito,Java,54
hs-web/hsweb-framework,Java,9
paascloud/paascloud-master,Java,32
firebase/quickstart-android,Java,13
elunez/eladmin,Java,65
apache/pulsar,Java,17
rest-assured/rest-assured,Java,5
apache/dubbo-spring-boot-project,Java,19
mybatis/generator,Java,10
OpenAPITools/openapi-generator,Java,17
zhoutaoo/SpringCloud,Java,36
Anuken/Mindustry,Java,93
react-native-community/react-native-webview,Java,7
h2pl/Java-Tutorial,Java,61
alibaba/Alink,Java,396
macrozheng/springcloud-learning,Java,64
springdoc/springdoc-openapi,Java,9
awslabs/aws-athena-query-federation,Java,13
