name,lang,new stars
flutter/flutter,Dart,106
atom/atom,JavaScript,18
netdata/netdata,C,67
gin-gonic/gin,Go,41
fastlane/fastlane,Ruby,19
cdr/code-server,TypeScript,64
airbnb/lottie-ios,Swift,31
testerSunshine/12306,Python,22
cypress-io/cypress,CoffeeScript,54
jinzhu/gorm,Go,56
sebastianruder/NLP-progress,Python,71
jumpserver/jumpserver,JavaScript,240
micropython/micropython,C,13
magento/magento2,PHP,20
tokio-rs/tokio,Rust,23
hecrj/iced,Rust,466
wesbos/Advanced-React,JavaScript,8
blocks/blocks,JavaScript,233
Geek-James/ddBuy,Vue,187
aws/sagemaker-python-sdk,Python,31
JohnSundell/Ink,Swift,69
fchollet/ARC,JavaScript,20
heucoder/dimensionality_reduction_alo_codes,Python,39
antvis/G2Plot,TypeScript,43
mRs-/Black-Friday-Deals,Swift,9
