name,lang,new stars
tensorflow/models,Python,56
keras-team/keras,Python,38
getsentry/sentry,Python,111
testerSunshine/12306,Python,22
huggingface/transformers,Python,85
sebastianruder/NLP-progress,Python,71
davidsandberg/facenet,Python,10
ray-project/ray,Python,32
sherlock-project/sherlock,Python,257
mlflow/mlflow,Python,15
edx/edx-platform,Python,4
Jrohy/multi-v2ray,Python,22
confluentinc/confluent-kafka-python,Python,4
FederatedAI/FATE,Python,8
harismuneer/Ultimate-Facebook-Scraper,Python,116
KubeOperator/KubeOperator,Python,35
aws/sagemaker-python-sdk,Python,31
rwightman/gen-efficientnet-pytorch,Python,12
heucoder/dimensionality_reduction_alo_codes,Python,39
fireeye/FIDL,Python,47
tanluren/yolov3-channel-and-layer-pruning,Python,33
SeuTao/RSNA2019_1st_place_solution,Python,12
Den4200/amazon-price-tracker,Python,9
SweetyTian/efficientdet,Python,7
quarkslab/legu_unpacker_2019,Python,13
