id,name,lang,new stars
10744183,netdata/netdata,C,165
102578345,coolsnowwolf/lede,C,113
80286288,arendst/Tasmota,C,60
63477515,TheAlgorithms/C,C,130
27737393,qmk/qmk_firmware,C,50
3299208,videolan/vlc,C,44
60667730,lvgl/lvgl,C,72
65899476,espressif/esp-idf,C,49
190845267,n64decomp/sm64,C,48
7037996,VirusTotal/yara,C,40
277194804,lawl/NoiseTorch,C,96
213916896,blender/blender,C,119
59676171,Klipper3d/klipper,C,28
146397768,ithewei/libhv,C,38
6331631,axboe/fio,C,40
327491895,peng-zhihui/HoloCubic,C,62
431433455,phoboslab/qoi,C,469
214011414,kingToolbox/WindTerm,C,349
6860771,hathach/tinyusb,C,30
247875738,zeldaret/oot,C,776
96348842,DPDK/dpdk,C,14
331381105,raspberrypi/pico-examples,C,96
203759896,immortalwrt/immortalwrt,C,17
61964127,86Box/86Box,C,19
325609012,lwfinger/rtw89,C,26
